adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mOOJm3tamy9iHg2mOEA77CM6ufZ.jpg,"[10751, 12, 16, 10749]",15969,en,The Return of Jafar,"The evil Jafar escapes from the magic lamp as an all-powerful genie, ready to plot his revenge against Aladdin. From battling elusive villains atop winged horses, to dodging flames inside an exploding lava pit, it's up to Aladdin - with Princess Jasmine and the outrageously funny Genie by his side - to save the kingdom once and for all.",23.393,/7SC793qtORB6YL4mu0F5o3hfjDQ.jpg,1994-05-20,The Return of Jafar,False,6.2,3335
False,/baJHUXBcoaHnMf2sjwegbuhIjEV.jpg,[878],9482,en,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",23.393,/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg,1995-06-30,Judge Dredd,False,5.8,2473
False,/eBnUzHJn7Jh1ziQqLIWGmpOsSk3.jpg,[35],411873,en,The Little Hours,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.",23.392,/wS69OOwBJzimoLIcmYMSVkmhCZM.jpg,2017-06-30,The Little Hours,False,5.8,567
False,/kJwQXgAk440l2vZOspUJee6inim.jpg,"[18, 53, 9648]",399057,en,The Killing of a Sacred Deer,"Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways.",23.388,/e4DGlsc9g0h5AyoyvvAuIRnofN7.jpg,2017-10-20,The Killing of a Sacred Deer,False,7.0,3976
False,/uxl2Egcx1bIHKI6QOyCGkYyWjx.jpg,"[53, 9648]",1092,en,The Third Man,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",23.387,/rO2Fq0AZZx9obs52KJdx4mRE8p5.jpg,1949-08-31,The Third Man,False,7.9,1858
False,/e29oMyfzzlWbhRlCBrzmZhlsw2m.jpg,"[28, 12, 878]",121856,en,Assassin's Creed,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",23.382,/lso7y9jXFiVHMcW4nSAudU5vq7i.jpg,2016-12-21,Assassin's Creed,False,5.4,7694
False,/ww7eC3BqSbFsyE5H5qMde8WkxJ2.jpg,"[27, 878, 28, 12]",443791,en,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",23.374,/gzlbb3yeVISpQ3REd3Ga1scWGTU.jpg,2020-01-08,Underwater,False,6.3,3099
False,/iEIcBVnttD9KOnpxtN1adVqKQkv.jpg,"[16, 10751, 35, 14]",741074,en,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",23.369,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,2020-10-23,Once Upon a Snowman,False,6.9,532
False,/6ufHj6uqyje1ogAlCvRB54hcGgn.jpg,"[16, 12, 14, 28, 10751]",571891,ja,ミュウツーの逆襲 EVOLUTION,"After accepting an invitation from a mysterious trainer, Ash, Misty and Brock meet Mewtwo, an artificially created Pokémon who wants to do battle.",23.367,/xlO50h3EX1w99KGztTzsjQBwPfs.jpg,2019-07-12,Pokémon the Movie: Mewtwo Strikes Back - Evolution,False,6.7,526
False,/waOYBThLihaTKUFOAzjvhPjBmrS.jpg,[18],14047,en,The Great Debaters,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African-American college students into a historical powerhouse that took on the Harvard elite.,23.366,/nuF3DDlZzNb2qq0tEsYU0zpXf8K.jpg,2007-12-25,The Great Debaters,False,7.3,617
